[2025 05 14 14:05:47] INFO 	src/logger.cpp:22 	Initialized logger successfully!
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 47/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 48/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 49/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 50/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 51/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 52/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 53/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 54/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 55/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 56/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 57/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 58/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 59/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 60/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 61/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 62/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 63/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 64/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 65/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 66/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 67/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 68/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 69/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 70/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 71/395
[2025 05 14 14:07:56] INFO 	src/Server/NetworkManager.cpp:199 	Sent chunk of size 2048 from file: video_teste.webm, 72/395
